timestamp,event,reason,rtt_ms,bandwidth_kbps,error_rate_pct,inference_ms,consecutive_errors,recovery_polls
2026-05-20 15:53:23,RECOVERED,test lock,50.00,500.00,0.00,350.00,,5
2026-05-20 15:53:23,LOCKED,test lock,-1.00,0.00,0.00,-1.00,,
2026-05-20 15:53:23,LOCKED,prop test,-1.00,0.00,0.00,-1.00,,
2026-05-20 15:54:39,LOCKED,test: cloud timeout,50.00,500.00,0.00,350.00,,
2026-05-20 15:54:39,LOCKED,first lock,-1.00,0.00,0.00,-1.00,,
2026-05-20 15:54:39,LOCKED,test lock,-1.00,0.00,0.00,-1.00,,
2026-05-20 15:54:39,LOCKED,test lock,-1.00,0.00,0.00,-1.00,,
2026-05-20 15:54:39,RECOVERED,test lock,50.00,500.00,0.00,350.00,,5
2026-05-20 15:54:39,LOCKED,test lock,-1.00,0.00,0.00,-1.00,,
2026-05-20 15:54:39,LOCKED,prop test,-1.00,0.00,0.00,-1.00,,
2026-05-20 17:15:20,LOCKED,cloud_infer failed 3x consecutively,42.50,182.27,0.00,0.00,3,
2026-05-20 17:15:29,RECOVERED,cloud_infer failed 3x consecutively,10.58,2452.09,0.00,0.00,,5
2026-05-20 17:16:25,LOCKED,cloud_infer failed 3x consecutively,41.80,191.91,0.00,0.00,3,
2026-05-20 17:16:35,RECOVERED,cloud_infer failed 3x consecutively,0.80,5447.15,0.00,0.00,,5
2026-05-20 17:17:09,LOCKED,cloud_infer failed 3x consecutively,41.21,181.87,0.00,0.00,3,
2026-05-20 17:17:17,RECOVERED,cloud_infer failed 3x consecutively,0.82,6552.32,0.00,0.00,,5
2026-05-20 17:17:52,LOCKED,cloud_infer failed 3x consecutively,85.91,157.56,0.00,0.00,3,
2026-05-20 17:18:00,RECOVERED,cloud_infer failed 3x consecutively,0.84,4155.86,0.00,0.00,,5
2026-05-20 17:18:35,LOCKED,cloud_infer failed 3x consecutively,80.77,205.30,0.00,0.00,3,
2026-05-20 17:18:43,RECOVERED,cloud_infer failed 3x consecutively,0.80,4069.18,0.00,0.00,,5
