timestamp,rtt_ms,bandwidth_kbps,bandwidth_mbps,inference_ms,error_rate_pct,network_ok,bandwidth_ok
2026-05-19T16:44:31.343818,59.45,620.61,0.6061,0.0,0.0,1,1
2026-05-19T16:44:34.518463,22.84,3686.49,3.6001,0.0,0.0,1,1
2026-05-19T16:44:37.699130,12.44,973.89,0.9511,0.0,0.0,1,1
2026-05-19T16:44:40.848235,5.36,823.77,0.8045,0.0,0.0,1,1
2026-05-19T16:44:44.016413,5.51,1129.17,1.1027,0.0,0.0,1,1
2026-05-19T16:44:47.202887,7.35,873.59,0.8531,0.0,0.0,1,1
2026-05-19T16:44:50.376906,9.3,639.59,0.6246,0.0,0.0,1,1
2026-05-19T16:44:53.526755,8.01,1349.41,1.3178,0.0,0.0,1,1
2026-05-19T16:44:56.675480,7.99,1758.71,1.7175,0.0,0.0,1,1
2026-05-19T16:44:59.855653,10.13,895.02,0.874,0.0,0.0,1,1
2026-05-19T16:45:03.007458,7.63,1737.22,1.6965,0.0,0.0,1,1
2026-05-19T16:45:06.157370,4.71,1057.83,1.033,0.0,0.0,1,1
2026-05-19T16:45:09.308365,4.04,901.88,0.8807,0.0,0.0,1,1
2026-05-19T16:45:12.671014,8.28,753.42,0.7358,0.0,0.0,1,1
2026-05-19T16:45:15.800306,7.88,799.09,0.7804,0.0,0.0,1,1
2026-05-19T16:45:18.954801,7.73,919.8,0.8982,0.0,0.0,1,1
2026-05-19T16:45:22.143792,9.46,842.76,0.823,0.0,0.0,1,1
2026-05-19T16:45:25.337775,9.98,644.31,0.6292,0.0,0.0,1,1
2026-05-19T16:45:28.532169,10.06,2102.67,2.0534,0.0,0.0,1,1
2026-05-19T16:45:31.746073,7.7,678.99,0.6631,0.0,0.0,1,1
2026-05-19T16:45:34.903715,6.63,1240.37,1.2113,0.0,0.0,1,1
2026-05-19T16:45:38.075233,5.63,1641.93,1.6034,0.0,0.0,1,1
2026-05-19T16:45:41.236999,8.97,896.0,0.875,0.0,0.0,1,1
2026-05-19T16:45:44.406137,5.35,807.16,0.7882,0.0,0.0,1,1
2026-05-19T16:45:47.584588,8.18,744.96,0.7275,0.0,0.0,1,1
2026-05-19T16:45:50.856273,35.16,1246.82,1.2176,0.0,0.0,1,1
2026-05-19T16:45:53.990045,20.64,522.29,0.51,0.0,0.0,1,1
2026-05-19T16:45:57.116724,54.65,3354.1,3.2755,0.0,0.0,1,1
2026-05-19T16:46:00.280931,20.62,497.63,0.486,0.0,0.0,1,1
2026-05-19T16:46:03.436065,12.09,515.55,0.5035,0.0,0.0,1,1
2026-05-19T16:46:06.647329,10.47,501.96,0.4902,0.0,0.0,1,1
2026-05-19T16:46:09.818098,1.6,4139.46,4.0424,0.0,0.0,1,1
2026-05-19T16:46:12.977701,4.84,529.36,0.517,0.0,0.0,1,1
2026-05-19T16:46:16.145491,8.01,498.05,0.4864,0.0,0.0,1,1
2026-05-19T16:46:19.265755,11.27,482.67,0.4714,0.0,0.0,1,1
2026-05-19T16:46:22.467694,13.95,342.89,0.3348,0.0,0.0,1,1
2026-05-19T16:46:25.643412,11.66,499.11,0.4874,0.0,0.0,1,1
2026-05-19T16:46:28.859275,11.38,356.98,0.3486,0.0,0.0,1,1
2026-05-19T16:46:32.004107,11.79,548.45,0.5356,0.0,0.0,1,1
2026-05-19T16:46:35.174258,7.85,845.82,0.826,0.0,0.0,1,1
2026-05-19T16:46:38.346041,8.28,523.07,0.5108,0.0,0.0,1,1
2026-05-19T16:46:41.537834,6.57,617.35,0.6029,0.0,0.0,1,1
2026-05-19T16:46:44.773620,3.38,622.0,0.6074,0.0,0.0,1,1
2026-05-19T16:46:47.934212,1.7,1952.88,1.9071,0.0,0.0,1,1
2026-05-19T16:46:51.134469,4.75,3633.0,3.5479,0.0,0.0,1,1
2026-05-19T16:46:54.311733,7.33,965.18,0.9426,0.0,0.0,1,1
2026-05-19T16:46:57.452669,6.91,478.64,0.4674,0.0,0.0,1,1
2026-05-19T16:47:00.651289,7.59,872.72,0.8523,0.0,0.0,1,1
2026-05-19T16:47:03.821560,8.79,586.68,0.5729,0.0,0.0,1,1
2026-05-19T16:47:06.982036,10.1,513.36,0.5013,0.0,0.0,1,1
2026-05-19T16:47:10.145765,10.09,828.61,0.8092,0.0,0.0,1,1
2026-05-19T16:47:13.306629,7.47,875.41,0.8549,0.0,0.0,1,1
2026-05-19T16:47:16.452511,5.19,634.24,0.6194,0.0,0.0,1,1
2026-05-19T16:47:19.624770,8.45,849.93,0.83,0.0,0.0,1,1
2026-05-19T16:47:22.808182,11.97,691.36,0.6752,0.0,0.0,1,1
2026-05-19T16:47:26.008360,10.79,485.35,0.474,0.0,0.0,1,1
2026-05-19T16:47:29.179391,9.27,753.85,0.7362,0.0,0.0,1,1
2026-05-19T16:47:32.326393,2.21,1957.21,1.9113,0.0,0.0,1,1
2026-05-19T16:47:35.466126,2.05,3026.47,2.9555,0.0,0.0,1,1
2026-05-19T16:47:38.631880,21.95,872.61,0.8522,0.0,0.0,1,1
2026-05-19T16:47:41.804353,8.32,734.7,0.7175,0.0,0.0,1,1
2026-05-19T16:47:44.978433,8.53,504.95,0.4931,0.0,0.0,1,1
2026-05-19T16:47:48.117159,9.06,682.4,0.6664,0.0,0.0,1,1
2026-05-19T16:47:51.298659,10.09,765.35,0.7474,0.0,0.0,1,1
2026-05-19T16:47:54.405956,5.75,871.75,0.8513,0.0,0.0,1,1
2026-05-19T16:47:57.537341,5.44,812.12,0.7931,0.0,0.0,1,1
2026-05-19T16:48:00.712803,4.75,544.2,0.5314,0.0,0.0,1,1
2026-05-19T16:48:03.873109,14.22,954.88,0.9325,0.0,0.0,1,1
2026-05-19T16:48:07.039795,11.21,514.73,0.5027,0.0,0.0,1,1
2026-05-19T16:48:10.222519,9.07,373.72,0.365,0.0,0.0,1,1
2026-05-19T16:48:13.392313,7.9,3699.9,3.6132,0.0,0.0,1,1
2026-05-19T16:48:16.526045,1.73,4210.62,4.1119,0.0,0.0,1,1
2026-05-19T16:48:19.743304,1.6,3553.37,3.4701,0.0,0.0,1,1
2026-05-19T16:48:22.909851,5.35,763.68,0.7458,0.0,0.0,1,1
2026-05-19T16:48:26.071872,8.11,799.66,0.7809,0.0,0.0,1,1
2026-05-19T16:48:29.241192,8.94,771.63,0.7535,0.0,0.0,1,1
2026-05-19T16:48:32.383715,9.29,581.63,0.568,0.0,0.0,1,1
