timestamp,previous_mode,new_mode,trigger_type,rtt_ms,bandwidth_kbps,error_rate_pct,inference_ms,network_ok,bandwidth_ok,polls_confirmed,reason
2026-05-20 15:00:07,CLOUD,LOCAL,FALLBACK,41.48,183.20,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 15:00:15,LOCAL,CLOUD,RECOVERY,0.51,7163.63,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 15:00:21,LOCAL,CLOUD,HYSTERESIS,22.30,7160.57,0.00,181.42,1,1,3,
2026-05-20 15:01:43,LOCAL,CLOUD,HYSTERESIS,0.54,7108.99,0.00,206.30,1,1,3,
2026-05-20 15:01:58,CLOUD,LOCAL,HYSTERESIS,175.57,55.95,0.00,411.62,1,0,3,
2026-05-20 15:02:10,LOCAL,CLOUD,HYSTERESIS,6.08,7128.62,0.00,182.49,1,1,3,
2026-05-20 15:02:42,CLOUD,LOCAL,FALLBACK,40.83,176.28,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 15:03:04,LOCAL,CLOUD,RECOVERY,37.48,160.16,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 15:03:10,LOCAL,CLOUD,HYSTERESIS,39.77,189.48,0.00,165.41,1,1,3,
2026-05-20 15:03:39,CLOUD,LOCAL,HYSTERESIS,170.21,42.24,0.00,321.75,1,0,3,
2026-05-20 15:03:43,CLOUD,LOCAL,FALLBACK,70.88,201.64,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 15:03:53,LOCAL,CLOUD,RECOVERY,37.08,179.73,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 15:06:10,LOCAL,CLOUD,HYSTERESIS,0.53,1327.57,0.00,119.04,1,1,3,
2026-05-20 15:06:16,CLOUD,LOCAL,HYSTERESIS,164.17,37.16,0.00,209.52,1,0,3,
2026-05-20 15:06:28,LOCAL,CLOUD,HYSTERESIS,20.81,7228.44,0.00,188.94,1,1,3,
2026-05-20 15:07:00,CLOUD,LOCAL,FALLBACK,42.36,296.27,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 15:07:09,LOCAL,CLOUD,RECOVERY,0.51,7284.94,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 15:07:15,LOCAL,CLOUD,HYSTERESIS,10.64,7261.29,0.00,178.81,1,1,3,
2026-05-20 15:07:47,CLOUD,LOCAL,FALLBACK,40.48,166.13,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 15:07:57,LOCAL,CLOUD,RECOVERY,0.52,6627.38,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 15:08:03,LOCAL,CLOUD,HYSTERESIS,30.75,8260.57,0.00,165.87,1,1,3,
2026-05-20 15:08:09,CLOUD,LOCAL,HYSTERESIS,141.30,185.12,25.00,205.48,0,1,3,
2026-05-20 15:08:51,LOCAL,CLOUD,HYSTERESIS,0.55,4666.17,0.00,195.99,1,1,3,
2026-05-20 15:08:59,CLOUD,LOCAL,HYSTERESIS,43.21,46.48,0.00,301.06,1,0,3,
2026-05-20 15:09:07,LOCAL,CLOUD,HYSTERESIS,1.07,7461.51,0.00,328.53,1,1,3,
2026-05-20 15:09:39,CLOUD,LOCAL,FALLBACK,35.76,207.92,25.00,0.00,0,1,0,cloud_infer failed 3x consecutively
2026-05-20 15:09:52,LOCAL,CLOUD,RECOVERY,19.17,170.27,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 15:09:58,LOCAL,CLOUD,HYSTERESIS,0.48,8052.42,0.00,170.24,1,1,3,
2026-05-20 15:10:29,CLOUD,LOCAL,FALLBACK,81.73,182.49,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 15:10:38,LOCAL,CLOUD,RECOVERY,0.68,3994.58,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 15:10:44,LOCAL,CLOUD,HYSTERESIS,0.51,1165.17,0.00,314.32,1,1,3,
2026-05-20 15:10:50,CLOUD,LOCAL,HYSTERESIS,197.69,39.42,0.00,362.42,1,0,3,
