timestamp,poll_id,rtt_ms,bandwidth_kbps,cpu_load,ram_usage,gpu_load,gpu_temp,prev_rtt_ms,rtt_delta,rtt_trend,avg_bw_last_6s,local_latency_ms,cloud_latency_ms,queue_depth,error_rate_pct,network_ok,bandwidth_ok,offload_ok,prob,raw_decision,pending_mode,pending_count,previous_mode,current_mode,transition,push_ok,pipeline_action
2026-05-21 13:20:44,1,0.00,0.00,66.67,80.45,22.90,44.00,0.00,0.00,stable,0.00,-1.00,-1.00,0,0.00,0,0,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 13:20:46,2,0.00,0.00,62.75,82.02,18.50,44.00,0.00,0.00,stable,0.00,-1.00,-1.00,0,0.00,0,0,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 13:20:48,3,0.00,0.00,61.23,89.36,45.00,44.50,0.00,0.00,stable,0.00,-1.00,-1.00,1,0.00,0,0,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 13:20:50,4,0.53,1404.24,66.14,92.78,0.00,44.50,0.00,0.53,stable,351.06,-1.00,-1.00,1,0.00,1,1,1,0.915,CLOUD,CLOUD,1,LOCAL,LOCAL,0,0,none
2026-05-21 13:20:52,5,5.45,8154.18,65.66,93.41,26.80,44.50,0.53,4.92,stable,2389.61,-1.00,-1.00,1,0.00,1,1,1,0.907,CLOUD,CLOUD,2,LOCAL,LOCAL,0,0,none
2026-05-21 13:20:55,6,5.45,8154.18,64.46,93.63,0.60,45.00,5.45,0.00,stable,4428.15,286.72,-1.00,1,0.00,1,1,1,0.904,CLOUD,,0,LOCAL,CLOUD,1,0,started
2026-05-21 13:20:57,7,0.51,497.87,65.98,84.00,7.10,45.00,5.45,-4.94,stable,4552.62,258.04,169.26,1,0.00,1,1,1,0.789,CLOUD,,0,CLOUD,CLOUD,0,0,none
2026-05-21 13:20:59,8,5.66,9603.44,63.33,84.36,11.10,44.50,0.51,5.15,stable,6602.42,258.04,175.60,1,0.00,1,1,1,0.901,CLOUD,,0,CLOUD,CLOUD,0,0,none
2026-05-21 13:21:01,9,5.66,9603.44,59.83,84.38,0.00,45.00,5.66,0.00,stable,6964.73,258.04,188.15,1,0.00,1,1,0,0.499,LOCAL,LOCAL,1,CLOUD,CLOUD,0,0,none
2026-05-21 13:21:03,10,19.95,391.96,61.56,84.38,0.00,45.00,5.66,14.29,up,5024.18,258.04,362.73,1,0.00,1,1,1,0.727,CLOUD,,0,CLOUD,CLOUD,0,0,none
