timestamp,event,reason,rtt_ms,bandwidth_kbps,error_rate_pct,inference_ms,consecutive_errors,recovery_polls
2026-04-20 12:58:15,LOCKED,cloud_infer failed 3x consecutively,58.98,162.68,0.00,0.00,3,
2026-04-20 12:58:35,RECOVERED,cloud_infer failed 3x consecutively,34.35,353.00,0.00,0.00,,5
2026-04-20 14:39:34,LOCKED,cloud_infer failed 3x consecutively,49.09,451.34,25.00,0.00,3,
2026-04-20 14:40:31,RECOVERED,cloud_infer failed 3x consecutively,55.83,1029.43,0.00,0.00,,5
2026-04-20 14:41:59,LOCKED,cloud_infer failed 3x consecutively,117.10,6.62,0.00,0.00,3,
2026-04-20 14:45:09,RECOVERED,cloud_infer failed 3x consecutively,185.41,805.09,0.00,0.00,,5
