timestamp,sample_id,scenario,mode,current_fps,average_fps,estimated_frames_total,rtt_ms,error_rate_pct,cpu_load,ram_usage,gpu_load,gpu_temp,frame_latency_ms,deepstream_alive
2026-05-21 11:04:24,35,ideal,LOCAL,25.87,26.4,1709,0.6,0.0,23.33,84.19,98.3,54.5,38.65,1
2026-05-21 11:04:26,36,ideal,LOCAL,26.38,26.4,1840,25.61,0.0,24.59,84.23,98.6,54.5,37.91,1
2026-05-21 11:04:28,37,ideal,LOCAL,26.38,26.4,1840,12.74,0.0,21.67,84.27,98.6,54.5,37.91,1
2026-05-21 11:04:30,38,ideal,LOCAL,26.38,26.4,1840,0.56,0.0,20.69,84.34,98.7,55.0,37.91,1
2026-05-21 11:04:32,39,ideal,LOCAL,26.47,26.4,1972,0.55,0.0,20.0,84.27,98.7,54.5,37.78,1
2026-05-21 11:04:34,40,ideal,LOCAL,26.47,26.4,1972,6.56,0.0,21.31,84.28,98.6,55.0,37.78,1
2026-05-21 11:04:36,41,ideal,LOCAL,26.28,26.4,2103,20.62,0.0,21.67,84.39,98.7,55.0,38.05,1
2026-05-21 11:04:38,42,ideal,LOCAL,26.28,26.4,2103,0.52,0.0,20.69,84.4,98.6,55.5,38.05,1
2026-05-21 11:04:40,43,ideal,LOCAL,26.28,26.4,2103,0.57,0.0,37.29,84.31,98.1,55.5,38.05,1
2026-05-21 11:04:42,44,ideal,LOCAL,26.15,26.38,2233,0.48,0.0,17.54,84.33,98.2,55.5,38.24,1
2026-05-21 11:04:44,45,ideal,LOCAL,26.15,26.38,2233,0.54,0.0,22.03,84.41,98.3,55.0,38.24,1
2026-05-21 11:04:46,46,ideal,LOCAL,26.55,26.39,2365,0.63,0.0,27.87,84.32,98.5,55.0,37.66,1
2026-05-21 11:04:48,47,ideal,LOCAL,26.55,26.39,2365,0.52,0.0,36.84,84.44,98.5,55.5,37.66,1
2026-05-21 11:04:50,48,ideal,LOCAL,26.55,26.39,2365,22.97,0.0,25.42,84.35,98.7,56.0,37.66,1
2026-05-21 11:04:52,49,ideal,LOCAL,26.24,26.38,2496,0.62,0.0,38.98,84.39,98.4,56.0,38.11,1
2026-05-21 11:04:54,50,ideal,LOCAL,26.24,26.38,2496,0.6,0.0,20.34,84.48,98.9,55.5,38.11,1
2026-05-21 11:07:32,1,cpu_stress,LOCAL,26.21,26.16,131,0.59,0.0,66.67,84.11,98.3,52.5,38.15,1
2026-05-21 11:07:33,2,cpu_stress,LOCAL,26.21,26.16,131,0.54,0.0,65.0,84.12,98.2,52.5,38.15,1
2026-05-21 11:07:35,3,cpu_stress,LOCAL,26.62,26.4,264,0.57,0.0,66.67,84.12,98.7,53.0,37.57,1
2026-05-21 11:07:36,4,cpu_stress,LOCAL,26.62,26.4,264,0.56,0.0,55.93,84.13,98.2,53.0,37.57,1
2026-05-21 11:07:37,5,cpu_stress,LOCAL,26.62,26.4,264,0.47,0.0,66.67,84.14,98.4,53.5,37.57,1
2026-05-21 11:07:38,6,cpu_stress,LOCAL,26.62,26.4,264,0.54,0.0,66.1,84.15,98.2,53.0,37.57,1
2026-05-21 11:07:39,7,cpu_stress,LOCAL,26.4,26.4,396,0.54,0.0,62.3,84.11,98.8,53.5,37.88,1
2026-05-21 11:07:40,8,cpu_stress,LOCAL,26.4,26.4,396,0.57,0.0,65.57,84.12,68.9,53.5,37.88,1
2026-05-21 11:07:41,9,cpu_stress,LOCAL,26.4,26.4,396,0.58,0.0,65.0,84.13,98.1,54.0,37.88,1
2026-05-21 11:07:42,10,cpu_stress,LOCAL,26.4,26.4,396,0.58,0.0,66.67,84.14,98.3,54.0,37.88,1
2026-05-21 11:07:44,11,cpu_stress,LOCAL,26.4,26.4,396,0.53,0.0,65.0,84.15,98.8,54.0,37.88,1
2026-05-21 11:07:45,12,cpu_stress,LOCAL,26.54,26.4,528,2.38,0.0,63.93,84.15,98.4,54.0,37.68,1
2026-05-21 11:07:46,13,cpu_stress,LOCAL,26.54,26.4,528,0.59,0.0,67.74,84.15,98.4,54.0,37.68,1
2026-05-21 11:07:47,14,cpu_stress,LOCAL,26.54,26.4,528,0.55,0.0,67.21,84.15,98.7,54.5,37.68,1
2026-05-21 11:07:48,15,cpu_stress,LOCAL,26.54,26.4,528,0.55,0.0,65.0,84.16,98.9,54.5,37.68,1
2026-05-21 11:07:49,16,cpu_stress,LOCAL,26.41,26.44,660,0.55,0.0,67.19,84.17,98.7,54.5,37.86,1
2026-05-21 11:07:50,17,cpu_stress,LOCAL,26.41,26.44,660,0.53,0.0,65.57,84.19,98.8,54.5,37.86,1
2026-05-21 11:07:52,18,cpu_stress,LOCAL,26.41,26.44,660,0.56,0.0,63.33,84.2,98.3,54.5,37.86,1
2026-05-21 11:07:53,19,cpu_stress,LOCAL,26.41,26.44,660,0.54,0.0,64.52,84.2,80.4,54.5,37.86,1
2026-05-21 11:07:54,20,cpu_stress,LOCAL,26.59,26.47,792,0.53,0.0,56.67,84.21,98.2,54.5,37.61,1
2026-05-21 11:07:55,21,cpu_stress,LOCAL,26.59,26.47,792,0.55,0.0,66.1,84.24,97.9,54.5,37.61,1
2026-05-21 11:07:56,22,cpu_stress,LOCAL,26.59,26.47,792,0.55,0.0,66.67,84.25,98.4,54.5,37.61,1
2026-05-21 11:07:57,23,cpu_stress,LOCAL,26.59,26.47,792,0.57,0.0,66.1,84.25,98.5,55.0,37.61,1
2026-05-21 11:07:58,24,cpu_stress,LOCAL,26.59,26.47,792,0.55,0.0,66.67,84.23,98.9,55.0,37.61,1
2026-05-21 11:07:59,25,cpu_stress,LOCAL,26.46,26.46,924,0.58,0.0,61.67,84.24,98.7,54.5,37.79,1
2026-05-21 11:08:01,26,cpu_stress,LOCAL,26.46,26.46,924,0.52,0.0,63.79,84.25,98.5,55.5,37.79,1
2026-05-21 11:08:02,27,cpu_stress,LOCAL,26.46,26.46,924,0.53,0.0,66.67,84.25,97.3,55.0,37.79,1
2026-05-21 11:08:03,28,cpu_stress,LOCAL,26.46,26.46,924,0.56,0.0,66.1,84.26,98.7,55.0,37.79,1
2026-05-21 11:08:04,29,cpu_stress,LOCAL,26.35,26.42,1055,0.54,0.0,66.1,84.28,97.7,55.0,37.95,1
2026-05-21 11:08:05,30,cpu_stress,LOCAL,26.35,26.42,1055,0.55,0.0,66.1,84.29,98.6,55.0,37.95,1
2026-05-21 11:08:06,31,cpu_stress,LOCAL,26.35,26.42,1055,0.56,0.0,66.1,83.95,97.9,55.0,37.95,1
2026-05-21 11:08:07,32,cpu_stress,LOCAL,26.35,26.42,1055,0.52,0.0,66.13,83.95,98.1,55.5,37.95,1
2026-05-21 11:08:09,33,cpu_stress,LOCAL,26.35,26.42,1055,0.54,0.0,42.86,83.96,98.5,55.5,37.95,1
2026-05-21 11:08:10,34,cpu_stress,LOCAL,26.4,26.44,1187,0.6,0.0,66.1,83.96,98.5,55.5,37.88,1
2026-05-21 11:08:11,35,cpu_stress,LOCAL,26.4,26.44,1187,0.53,0.0,67.21,83.96,93.3,55.0,37.88,1
2026-05-21 11:08:12,36,cpu_stress,LOCAL,26.4,26.44,1187,0.54,0.0,57.63,84.06,98.8,55.5,37.88,1
2026-05-21 11:08:13,37,cpu_stress,LOCAL,26.4,26.44,1187,0.53,0.0,66.67,84.05,98.4,56.0,37.88,1
2026-05-21 11:08:14,38,cpu_stress,LOCAL,26.57,26.46,1319,0.58,0.0,58.33,84.05,98.0,55.5,37.64,1
2026-05-21 11:08:15,39,cpu_stress,LOCAL,26.57,26.46,1319,0.56,0.0,65.0,84.07,98.0,56.0,37.64,1
2026-05-21 11:08:16,40,cpu_stress,LOCAL,26.57,26.46,1319,0.56,0.0,67.74,83.99,98.4,56.0,37.64,1
2026-05-21 11:08:18,41,cpu_stress,LOCAL,26.57,26.46,1319,0.62,0.0,65.0,83.99,84.7,56.0,37.64,1
2026-05-21 11:08:19,42,cpu_stress,LOCAL,26.53,26.45,1451,0.52,0.0,66.1,84.03,98.6,56.0,37.69,1
2026-05-21 11:08:20,43,cpu_stress,LOCAL,26.53,26.45,1451,0.58,0.0,66.1,84.02,98.5,56.0,37.69,1
2026-05-21 11:08:21,44,cpu_stress,LOCAL,26.53,26.45,1451,0.53,0.0,67.74,84.03,98.4,56.0,37.69,1
2026-05-21 11:08:22,45,cpu_stress,LOCAL,26.53,26.45,1451,0.54,0.0,66.67,84.03,98.3,56.5,37.69,1
2026-05-21 11:08:23,46,cpu_stress,LOCAL,26.53,26.45,1451,0.57,0.0,65.0,84.04,98.3,56.5,37.69,1
2026-05-21 11:08:24,47,cpu_stress,LOCAL,26.54,26.45,1583,0.55,0.0,66.1,84.05,98.4,56.5,37.68,1
2026-05-21 11:08:26,48,cpu_stress,LOCAL,26.54,26.45,1583,0.55,0.0,64.41,84.05,98.7,57.0,37.68,1
